"Fishery_ShortName","Fishery","Region","GearType_specific","GearType_general","Year","Target","Target_HMS","Overfished_Fm","Overfished_Fm_numeric","Overfishing_Bt","Overfishing_Bt_numeric","TotalDiscards_FI_lbs","TotalDiscards_FI_inds","TotalBycatch_SS_inds","Discard_Rate","ESA_sp_num","ESA_FI_discards_lbs","ESA_FI_discards_inds","ESA_birdturt","IUCN_sp_num","IUCN_FI_discards_lbs","IUCN_FI_discards_inds","IUCN_birdturt","MMPA","VessPers","Fishery_Tier","CV_mean","CV_median","CV_max","NORM_TotalDiscards_lbs","NORM_TotalDiscards_inds","NORM_IUCN_lbs","NORM_IUCN_inds","NORM_ESA_inds","NORM_ESA_lbs","NORM_TotalBycatch_inds","NORM_Discard_Rate","NORM_ESA_num","NORM_ESA_birdturt","NORM_IUCN_num","NORM_IUCN_birdturt","NORM_MMPA","NORM_Tier","NORM_CV","NORM_TotalDiscards_Combined","NORM_ESA_Discards_Combined","NORM_IUCN_Discards_Combined","mean_criteria","criteria_sd","ncrit","criteria_se"
"PI: AS Pelagic Longline","American Samoa Pelagic Longline","PI","surface longline","longline",2010,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo","Y","1: Bigeye tuna; Wahoo unknown",1,"None; Wahoo unknown",0,NA,NA,42,NA,5,NA,NA,42,5,NA,NA,42,2,"60",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00570497147514262,NA,0.833333333333333,0.0344375204985241,0.111111111111111,0.0344375204985241,0.5,0,NA,NA,NA,NA,0.252378057114579,0.321947105406867,7,0.121684568031952
"PI: AS Pelagic Longline","American Samoa Pelagic Longline","PI","surface longline","longline",2011,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo","Y","1: Bigeye tuna; Wahoo unknown",1,"None; Wahoo unknown",0,2321040.8,NA,42,0.235573422,4,184.4,NA,40,20,721875.8,NA,40,2,"60",1,NA,NA,NA,0.00784786770736327,NA,0.0646804387337282,NA,NA,0.000106531219346458,0.00570497147514262,0.281021964492242,0.666666666666667,0.032797638570023,0.444444444444444,0.032797638570023,0.5,0,NA,0.00784786770736327,0.000106531219346458,0.0646804387337282,0.211339013489915,0.252630636935552,11,0.0761710030239752
"PI: AS Pelagic Longline","American Samoa Pelagic Longline","PI","surface longline","longline",2012,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo","Y","1: Bigeye tuna; Wahoo unknown",1,"Wahoo unknown",0,2087288.9,NA,12,0.185178665,2,0,NA,12,16,815494.2,NA,12,2,"26",1,NA,NA,NA,0.0070575093528075,NA,0.0730686949760758,NA,NA,0,0.00162999185004075,0.220904683467861,0.333333333333333,0.00983929157100689,0.355555555555556,0.00983929157100689,0.5,0,NA,0.0070575093528075,0,0.0730686949760758,0.167602362639807,0.20490033058666,11,0.0617797741796122
"PI: AS Pelagic Longline","American Samoa Pelagic Longline","PI","surface longline","longline",2013,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo","Y","1: Bigeye tuna; Wahoo unknown",1,"None; Wahoo unknown",0,1256212.1,NA,41,0.167477616,3,0,NA,36,16,484601.7,NA,36,2,"24",1,NA,NA,NA,0.00424748516837317,NA,0.0434205587264603,NA,NA,0,0.00556913882097256,0.199788619009819,0.5,0.0295178747130207,0.355555555555556,0.0295178747130207,0.5,0,NA,0.00424748516837317,0,0.0434205587264603,0.180634758892269,0.220865137370335,11,0.0665933445388821
"PI: AS Pelagic Longline","American Samoa Pelagic Longline","PI","surface longline","longline",2014,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo","Y","1: Bigeye tuna; Wahoo unknown",1,"Wahoo unknown",0,1028317.4,NA,26,0.185403598,4,120.4,NA,26,20,437551.1,NA,26,2,"24",1,NA,NA,NA,0.00347693108900962,NA,0.0392048010425413,NA,NA,6.95572603541947e-05,0.00353164900842162,0.221173012182546,0.666666666666667,0.0213184650705149,0.444444444444444,0.0213184650705149,0.5,0,NA,0.00347693108900962,6.95572603541947e-05,0.0392048010425413,0.201766999319584,0.255073615175064,11,0.0769075886777447
"PI: AS Pelagic Longline","American Samoa Pelagic Longline","PI","surface longline","longline",2015,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo","Y","1: Bigeye tuna; Wahoo unknown",1,"Wahoo unknown",0,1006528.6,NA,41,0.166753813,3,72.3,NA,28,16,383465.1,NA,41,2,"25",1,NA,NA,NA,0.00340325913119561,NA,0.0343586679413175,NA,NA,4.17690192990721e-05,0.00556913882097256,0.198925174656723,0.5,0.0229583469990161,0.355555555555556,0.0336175795342735,0.5,0,NA,0.00340325913119561,4.17690192990721e-05,0.0343586679413175,0.179535790971529,0.22161799148555,11,0.0668203385954315
"SE: A/GOM HMS Pelagic Longline","Atlantic and Gulf of Mexico HMS Pelagic Longline","SE","surface longline","longline",2010,"Yellowfin tuna, Bigeye tuna, Swordfish","Y","None",0,"None, but Yellowfin tuna rebuilding as of 2013",0,1200306.78,NA,517.3,0.234597451,2,0,NA,517.3,9,850181.85,NA,517.3,3,"94",2,NA,NA,NA,0.00405845895414298,NA,0.0761767260537791,NA,NA,0,0.0702662320021733,0.27985770204965,0.333333333333333,0.424155460806822,0.2,0.424155460806822,1,0.333333333333333,NA,0.00405845895414298,0,0.0761767260537791,0.345444725611671,0.343618339989985,11,0.10360482771196
"SE: A/GOM HMS Pelagic Longline","Atlantic and Gulf of Mexico HMS Pelagic Longline","SE","surface longline","longline",2011,"Yellowfin tuna, Bigeye tuna, Swordfish","Y","None",0,"None, but Yellowfin tuna rebuilding as of 2013",0,2095468.2,NA,681.1,0.270841495,3,0,NA,681.1,10,1248872.3,NA,681.1,3,NA,2,NA,NA,NA,0.00708516507705795,NA,0.111899593096763,NA,NA,0,0.0925156207552296,0.323094211327948,0.5,0.558461790751066,0.222222222222222,0.558461790751066,1,0.333333333333333,NA,0.00708516507705795,0,0.111899593096763,0.39225614394289,0.348190280745854,11,0.104983319716592
"SE: A/GOM HMS Pelagic Longline","Atlantic and Gulf of Mexico HMS Pelagic Longline","SE","surface longline","longline",2012,"Yellowfin tuna, Bigeye tuna, Swordfish","Y","None",0,"None, but Yellowfin tuna rebuilding as of 2013",0,1821853.8,NA,1219.6,0.193236359,2,0,NA,1219.6,9,1090713.8,NA,1219.6,3,NA,2,NA,NA,NA,0.00616002424625929,NA,0.097728511077573,NA,NA,0,0.165661505025808,0.230516926555103,0.333333333333333,1,0.2,1,1,0.333333333333333,NA,0.00616002424625929,0,0.097728511077573,0.447227802797617,0.424507714149205,11,0.12799389167676
"SE: A/GOM HMS Pelagic Longline","Atlantic and Gulf of Mexico HMS Pelagic Longline","SE","surface longline","longline",2013,"Yellowfin tuna, Bigeye tuna, Swordfish","Y","None",0,"None, but Yellowfin tuna rebuilding as of 2013",0,1373378,NA,742.7,0.182308105,2,0,NA,742.7,9,919862,NA,742.7,3,"234",2,NA,NA,NA,0.00464364472016311,NA,0.0824201029241937,NA,NA,0,0.100882912252105,0.217480314099092,0.333333333333333,0.608970154148901,0.2,0.608970154148901,1,0.333333333333333,NA,0.00464364472016311,0,0.0824201029241937,0.374169495746669,0.357964433138712,11,0.10793033754667
"SE: A/GOM HMS Pelagic Longline","Atlantic and Gulf of Mexico HMS Pelagic Longline","SE","surface longline","longline",2014,"Yellowfin tuna, Bigeye tuna, Swordfish","Y","None",0,"None, Yellowfin tuna approaching overfished",0,1757690,NA,544.1,0.153196132,3,0,NA,544.1,20,971950,NA,544.1,3,"84",2,NA,NA,NA,0.00594307458557185,NA,0.0870872142094902,NA,NA,0,0.073906547133931,0.182751846968767,0.5,0.446129878648737,0.444444444444444,0.446129878648737,1,0.333333333333333,NA,0.00594307458557185,0,0.0870872142094902,0.376643851497751,0.346524529987028,11,0.104481076965566
"SE: A/GOM HMS Pelagic Longline","Atlantic and Gulf of Mexico HMS Pelagic Longline","SE","surface longline","longline",2015,"Yellowfin tuna, Bigeye tuna, Swordfish","Y","None",0,"None, Yellowfin tuna approaching overfished",0,1225473,NA,542,0.136212582,2,0,NA,542,9,537805,NA,542,3,"83",2,NA,NA,NA,0.00414355059288298,NA,0.0481876014588558,NA,NA,0,0.0736212985601739,0.16249170665017,0.333333333333333,0.444408002623811,0.2,0.444408002623811,1,0.333333333333333,NA,0.00414355059288298,0,0.0481876014588558,0.336993902431364,0.350200384234864,11,0.105589388722303
"AK: BS Snow Crab Pot","Bering Sea Snow Crab Pot","AK","pots and traps","pots and traps",2014,"Snow crab","N","None",0,"None",0,9024447,NA,0,0.117253425,0,0,NA,0,16,0,NA,0,1,NA,NA,NA,NA,NA,0.0305133223802491,NA,0,NA,NA,0,0,0.139874810822011,0,0,0.355555555555556,0,0,NA,NA,0.0305133223802491,0,0,0.0478130626143469,0.11136596333225,10,0.0352170097948704
"AK: BS Snow Crab Pot","Bering Sea Snow Crab Pot","AK","pots and traps","pots and traps",2015,"Snow crab","N","None",0,"None",0,31724519.53,NA,0,0.438575324,0,0,NA,0,0,0,NA,0,1,NA,NA,NA,NA,NA,0.107266460956267,NA,0,NA,NA,0,0,0.523188473818161,0,0,0,0,0,NA,NA,0.107266460956267,0,0,0.0573140849794935,0.159283162016796,10,0.0503697584886693
"AK: BS Tanner Crab Pot","Bering Sea Tanner Crab Pot","AK","pots and traps","pots and traps",2014,"Southern Tanner crab","N","None",0,"None",0,10476843.37,NA,0,0.43326623,0,0,NA,0,16,0,NA,0,1,NA,NA,NA,NA,NA,0.0354241428063333,NA,0,NA,NA,0,0,0.516855110687095,0,0,0.355555555555556,0,0,NA,NA,0.0354241428063333,0,0,0.0825304371862712,0.180503105342526,10,0.057080093761569
"AK: BS Tanner Crab Pot","Bering Sea Tanner Crab Pot","AK","pots and traps","pots and traps",2015,"Southern Tanner crab","N","None",0,"None",0,18717984.54,NA,0,0.487958529,0,0,NA,0,0,0,NA,0,1,NA,NA,NA,NA,NA,0.0632889634763814,NA,0,NA,NA,0,0,0.582099046853956,0,0,0,0,0,NA,NA,0.0632889634763814,0,0,0.058671637302758,0.176246014975439,10,0.0557338835850532
"AK: BS/AI Catcher Processor Longline","Bering Sea/Aleutian Islands Catcher Processor Longline","AK","longline","longline",2010,"Pacific cod, Greenland halibut, Sablefish","Y","None",0,"None",0,21989819.04,NA,3022,0.092664042,1,0,NA,15,3,0,NA,65,2,"83",1,NA,NA,NA,0.0743516403222115,NA,0,NA,NA,0,0.410486280901929,0.11054146473549,0.166666666666667,0.0122991144637586,0.0666666666666667,0.0532961626762873,0.5,0,NA,0.0743516403222115,0,0,0.157858999702751,0.197467109144905,11,0.0595385735881643
