Fishery_ShortName,Fishery,Region,GearType_specific,GearType_general,Year,Target,Target_HMS,Overfished_Fm,Overfished_Fm_numeric,Overfishing_Bt,Overfishing_Bt_numeric,TotalDiscards_lbs,TotalBycatch_inds,Discard_Rate,ESA_num,ESA_discards_lbs,ESA_birdturt,IUCN_num,IUCN_discards_lbs,IUCN_birdturt,MMPA,VessPers,Fishery_Tier,CV_mean,CV_median,CV_max
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2010,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,None; Wahoo unknown,0,NA,42,NA,5,0,42,5,0,42,2,60,4,,,
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2011,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,None; Wahoo unknown,0,2321040.8,42,0.235573422,4,184.4,40,20,721875.8,40,2,60,4,,,
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2012,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,Wahoo unknown,0,2087288.9,12,0.185178665,2,0,12,16,815494.2,12,2,26,4,,,
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2013,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,None; Wahoo unknown,0,1256212.1,41,0.167477616,3,0,36,16,484601.7,36,2,24,4,,,
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2014,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,Wahoo unknown,0,1028317.4,26,0.185403598,4,120.4,26,20,437551.1,26,2,24,4,,,
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2015,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,Wahoo unknown,0,1006528.6,41,0.166753813,3,72.3,28,16,383465.1,41,2,25,4,,,
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2010,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, but Yellowfin tuna rebuilding as of 2013",0,1200306.78,517.3,0.234597451,2,0,517.3,9,850181.85,517.3,3,94,3,,,
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2011,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, but Yellowfin tuna rebuilding as of 2013",0,2095468.2,681.1,0.270841495,3,0,681.1,10,1248872.3,681.1,3,NA,3,,,
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2012,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, but Yellowfin tuna rebuilding as of 2013",0,1821853.8,1219.6,0.193236359,2,0,1219.6,9,1090713.8,1219.6,3,NA,3,,,
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2013,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, but Yellowfin tuna rebuilding as of 2013",0,1373378,742.7,0.182308105,2,0,742.7,9,919862,742.7,3,234,3,,,
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2014,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, Yellowfin tuna approaching overfished",0,1757690,544.1,0.153196132,3,0,544.1,20,971950,544.1,3,84,3,,,
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2015,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, Yellowfin tuna approaching overfished",0,1225473,542,0.136212582,2,0,542,9,537805,542,3,83,3,,,
AK: BS Snow Crab Pot,Bering Sea Snow Crab Pot,AK,pots and traps,pots and traps,2014,Snow crab,N,None,0,None,0,9024447,0,0.117253425,0,0,0,16,0,0,1,NA,,,,
AK: BS Snow Crab Pot,Bering Sea Snow Crab Pot,AK,pots and traps,pots and traps,2015,Snow crab,N,None,0,None,0,31724519.53,0,0.438575324,0,0,0,0,0,0,1,NA,,,,
AK: BS Tanner Crab Pot,Bering Sea Tanner Crab Pot,AK,pots and traps,pots and traps,2014,Southern Tanner crab,N,None,0,None,0,10476843.37,0,0.43326623,0,0,0,16,0,0,1,NA,,,,
AK: BS Tanner Crab Pot,Bering Sea Tanner Crab Pot,AK,pots and traps,pots and traps,2015,Southern Tanner crab,N,None,0,None,0,18717984.54,0,0.487958529,0,0,0,0,0,0,1,NA,,,,
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2010,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,21989819.04,3022,0.092664042,1,0,15,3,0,65,2,83,4,,,
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2011,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,52543324.93,7362,0.158395725,1,0,5,3,0,38,2,83,4,,,
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2012,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,52316063.14,4403,0.143182723,0,0,0,1,0,34,2,505,4,,,
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2013,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,53617948.71,3426,0.153584612,0,0,0,1,0,4,1,510,4,,,
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2014,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,53267849.07,1406,0.151367776,1,0,9,18,0,39,1,NA,4,,,
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2015,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,59630360.15,4219,0.159614407,0,0,0,2,0,103,1,NA,4,,,
AK: BS/AI Catcher Vessel Longline,Bering Sea/Aleutian Islands Catcher Vessel Longline,AK,longline,longline,2010,"Sablefish, Pacific cod, Pacific halibut",Y,Pacific halibut undefined,0,None,0,NA,276,NA,0,0,0,1,0,139,1,2812,3,,,
AK: BS/AI Catcher Vessel Longline,Bering Sea/Aleutian Islands Catcher Vessel Longline,AK,longline,longline,2011,"Sablefish, Pacific cod, Pacific halibut",Y,Pacific halibut undefined,0,None,0,NA,99,NA,0,0,0,2,0,16,1,2549,3,,,
AK: BS/AI Catcher Vessel Longline,Bering Sea/Aleutian Islands Catcher Vessel Longline,AK,longline,longline,2012,"Sablefish, Pacific cod, Pacific halibut",Y,Pacific halibut undefined,0,None,0,NA,103,NA,0,0,0,1,0,90,1,2549,3,,,
AK: BS/AI Catcher Vessel Longline,Bering Sea/Aleutian Islands Catcher Vessel Longline,AK,longline,longline,2013,"Sablefish, Pacific cod, Pacific halibut",Y,Pacific halibut undefined,0,None,0,24588573.61,326,0.446535077,0,0,0,4,0,187,1,2308,3,,,
AK: BS/AI Catcher Vessel Longline,Bering Sea/Aleutian Islands Catcher Vessel Longline,AK,longline,longline,2014,"Sablefish, Pacific cod, Pacific halibut",Y,Pacific halibut undefined,0,None,0,4966638.53,163,0.334121979,1,0,0,18,0,37,1,NA,3,,,
AK: BS/AI Catcher Vessel Longline,Bering Sea/Aleutian Islands Catcher Vessel Longline,AK,longline,longline,2015,"Sablefish, Pacific cod, Pacific halibut",Y,Pacific halibut undefined,0,None,0,3433715.65,201,0.34411121,0,0,0,1,0,81,1,NA,3,,,
AK: BS/AI Groundfish Pot,Bering Sea/Aleutian Islands Groundfish Pot,AK,pots and traps,pots and traps,2010,"Pacific cod, Sablefish",Y,None,0,None,0,2237028.14,65,0.046239476,0,0,0,0,0,0,2,NA,3,,,
AK: BS/AI Groundfish Pot,Bering Sea/Aleutian Islands Groundfish Pot,AK,pots and traps,pots and traps,2011,"Pacific cod, Sablefish",Y,None,0,None,0,2829986.07,0,0.043037816,0,0,0,0,0,0,2,74,3,,,
AK: BS/AI Groundfish Pot,Bering Sea/Aleutian Islands Groundfish Pot,AK,pots and traps,pots and traps,2012,"Pacific cod, Sablefish",Y,None,0,None,0,1744822.32,21,0.026374745,0,0,0,0,0,0,2,74,3,,,
AK: BS/AI Groundfish Pot,Bering Sea/Aleutian Islands Groundfish Pot,AK,pots and traps,pots and traps,2013,"Pacific cod, Sablefish",Y,None,0,None,0,2699001.88,19,0.038405795,0,0,0,0,0,0,1,74,3,,,
AK: BS/AI Groundfish Pot,Bering Sea/Aleutian Islands Groundfish Pot,AK,pots and traps,pots and traps,2014,"Pacific cod, Sablefish",Y,None,0,None,0,3313878.82,46,0.045612815,0,0,0,16,0,0,1,NA,3,,,
AK: BS/AI Groundfish Pot,Bering Sea/Aleutian Islands Groundfish Pot,AK,pots and traps,pots and traps,2015,"Pacific cod, Sablefish",Y,None,0,None,0,3169062.25,214,0.04565311,0,0,0,0,0,0,1,NA,3,,,
