Fishery_ShortName,Fishery,Region,GearType_specific,GearType_general,Year,Target,Target_HMS,Overfished_Fm,Overfished_Fm_numeric,Overfishing_Bt,Overfishing_Bt_numeric,TotalDiscards_lbs,TotalBycatch_inds,Discard_Rate,ESA_num,ESA_discards_lbs,ESA_birdturt,IUCN_num,IUCN_discards_lbs,IUCN_birdturt,MMPA,VessPers,Fishery_Tier,CV_mean,CV_median,CV_max,NORM_TotalDiscards_lbs,NORM_TotalBycatch_inds,NORM_Discard_Rate,NORM_ESA_num,NORM_ESA_lbs,NORM_ESA_birdturt,NORM_IUCN_num,NORM_IUCN_lbs,NORM_IUCN_birdturt,NORM_MMPA,NORM_Tier,NORM_CV,mean_criteria,criteria_sd,ncrit,criteria_se
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2010,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,None; Wahoo unknown,0,NA,42,NA,5,0,42,5,0,42,2,60,1,NA,NA,NA,NA,0.005704971,NA,0.833333333,0,0.03443752,0.111111111,0,0.03443752,0.5,0,NA,0.201902446,0.301803025,9,0.100601008
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2011,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,None; Wahoo unknown,0,2321040.8,42,0.235573422,4,184.4,40,20,721875.8,40,2,60,1,NA,NA,NA,0.007847868,0.005704971,0.281021964,0.666666667,0.000106531,0.032797639,0.444444444,0.064680439,0.032797639,0.5,0,NA,0.211339013,0.252630637,11,0.076171003
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2012,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,Wahoo unknown,0,2087288.9,12,0.185178665,2,0,12,16,815494.2,12,2,26,1,NA,NA,NA,0.007057509,0.001629992,0.220904683,0.333333333,0,0.009839292,0.355555556,0.073068695,0.009839292,0.5,0,NA,0.167602363,0.204900331,11,0.061779774
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2013,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,None; Wahoo unknown,0,1256212.1,41,0.167477616,3,0,36,16,484601.7,36,2,24,1,NA,NA,NA,0.004247485,0.005569139,0.199788619,0.5,0,0.029517875,0.355555556,0.043420559,0.029517875,0.5,0,NA,0.180634759,0.220865137,11,0.066593345
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2014,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,Wahoo unknown,0,1028317.4,26,0.185403598,4,120.4,26,20,437551.1,26,2,24,1,NA,NA,NA,0.003476931,0.003531649,0.221173012,0.666666667,6.96E-05,0.021318465,0.444444444,0.039204801,0.021318465,0.5,0,NA,0.201766999,0.255073615,11,0.076907589
PI: AS Pelagic Longline,American Samoa Pelagic Longline,PI,surface longline,longline,2015,"Albacore, Yellowfin tuna, Bigeye tuna, Wahoo",Y,1: Bigeye tuna; Wahoo unknown,1,Wahoo unknown,0,1006528.6,41,0.166753813,3,72.3,28,16,383465.1,41,2,25,1,NA,NA,NA,0.003403259,0.005569139,0.198925175,0.5,4.18E-05,0.022958347,0.355555556,0.034358668,0.03361758,0.5,0,NA,0.179535791,0.221617991,11,0.066820339
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2010,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, but Yellowfin tuna rebuilding as of 2013",0,1200306.78,517.3,0.234597451,2,0,517.3,9,850181.85,517.3,3,94,2,NA,NA,NA,0.004058459,0.070266232,0.279857702,0.333333333,0,0.424155461,0.2,0.076176726,0.424155461,1,0.333333333,NA,0.345444726,0.34361834,11,0.103604828
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2011,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, but Yellowfin tuna rebuilding as of 2013",0,2095468.2,681.1,0.270841495,3,0,681.1,10,1248872.3,681.1,3,NA,2,NA,NA,NA,0.007085165,0.092515621,0.323094211,0.5,0,0.558461791,0.222222222,0.111899593,0.558461791,1,0.333333333,NA,0.392256144,0.348190281,11,0.10498332
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2012,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, but Yellowfin tuna rebuilding as of 2013",0,1821853.8,1219.6,0.193236359,2,0,1219.6,9,1090713.8,1219.6,3,NA,2,NA,NA,NA,0.006160024,0.165661505,0.230516927,0.333333333,0,1,0.2,0.097728511,1,1,0.333333333,NA,0.447227803,0.424507714,11,0.127993892
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2013,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, but Yellowfin tuna rebuilding as of 2013",0,1373378,742.7,0.182308105,2,0,742.7,9,919862,742.7,3,234,2,NA,NA,NA,0.004643645,0.100882912,0.217480314,0.333333333,0,0.608970154,0.2,0.082420103,0.608970154,1,0.333333333,NA,0.374169496,0.357964433,11,0.107930338
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2014,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, Yellowfin tuna approaching overfished",0,1757690,544.1,0.153196132,3,0,544.1,20,971950,544.1,3,84,2,NA,NA,NA,0.005943075,0.073906547,0.182751847,0.5,0,0.446129879,0.444444444,0.087087214,0.446129879,1,0.333333333,NA,0.376643851,0.34652453,11,0.104481077
SE: A/GOM HMS Pelagic Longline,Atlantic and Gulf of Mexico HMS Pelagic Longline,SE,surface longline,longline,2015,"Yellowfin tuna, Bigeye tuna, Swordfish",Y,None,0,"None, Yellowfin tuna approaching overfished",0,1225473,542,0.136212582,2,0,542,9,537805,542,3,83,2,NA,NA,NA,0.004143551,0.073621299,0.162491707,0.333333333,0,0.444408003,0.2,0.048187601,0.444408003,1,0.333333333,NA,0.336993902,0.350200384,11,0.105589389
AK: BS Snow Crab Pot,Bering Sea Snow Crab Pot,AK,pots and traps,pots and traps,2014,Snow crab,N,None,0,None,0,9024447,0,0.117253425,0,0,0,16,0,0,1,NA,NA,NA,NA,NA,0.030513322,0,0.139874811,0,0,0,0.355555556,0,0,0,NA,NA,0.047813063,0.111365963,10,0.03521701
AK: BS Snow Crab Pot,Bering Sea Snow Crab Pot,AK,pots and traps,pots and traps,2015,Snow crab,N,None,0,None,0,31724519.53,0,0.438575324,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,0.107266461,0,0.523188474,0,0,0,0,0,0,0,NA,NA,0.057314085,0.159283162,10,0.050369758
AK: BS Tanner Crab Pot,Bering Sea Tanner Crab Pot,AK,pots and traps,pots and traps,2014,Southern Tanner crab,N,None,0,None,0,10476843.37,0,0.43326623,0,0,0,16,0,0,1,NA,NA,NA,NA,NA,0.035424143,0,0.516855111,0,0,0,0.355555556,0,0,0,NA,NA,0.082530437,0.180503105,10,0.057080094
AK: BS Tanner Crab Pot,Bering Sea Tanner Crab Pot,AK,pots and traps,pots and traps,2015,Southern Tanner crab,N,None,0,None,0,18717984.54,0,0.487958529,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,0.063288963,0,0.582099047,0,0,0,0,0,0,0,NA,NA,0.058671637,0.176246015,10,0.055733884
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2010,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,21989819.04,3022,0.092664042,1,0,15,3,0,65,2,83,1,NA,NA,NA,0.07435164,0.410486281,0.110541465,0.166666667,0,0.012299114,0.066666667,0,0.053296163,0.5,0,NA,0.157859,0.197467109,11,0.059538574
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2011,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,52543324.93,7362,0.158395725,1,0,5,3,0,38,2,83,1,NA,NA,NA,0.177658688,1,0.188954583,0.166666667,0,0.004099705,0.066666667,0,0.031157757,0.5,0,NA,0.219600339,0.307113295,11,0.092598143
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2012,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,52316063.14,4403,0.143182723,0,0,0,1,0,34,2,505,1,NA,NA,NA,0.176890274,0.598071176,0.170806578,0,0,0,0.022222222,0,0.027877993,0.5,0,NA,0.166322354,0.232868605,11,0.070212526
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2013,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,53617948.71,3426,0.153584612,0,0,0,1,0,4,1,510,1,NA,NA,NA,0.181292189,0.465362673,0.183215275,0,0,0,0.022222222,0,0.003279764,0,0,NA,0.07128101,0.143322093,11,0.043213237
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2014,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,53267849.07,1406,0.151367776,1,0,9,18,0,39,1,NA,1,NA,NA,NA,0.180108438,0.190980712,0.180570751,0.166666667,0,0.007379469,0.4,0,0.031977698,0,0,NA,0.096473644,0.128429801,11,0.038723042
AK: BS/AI Catcher Processor Longline,Bering Sea/Aleutian Islands Catcher Processor Longline,AK,longline,longline,2015,"Pacific cod, Greenland halibut, Sablefish",Y,None,0,None,0,59630360.15,4219,0.159614407,0,0,0,2,0,103,1,NA,1,NA,NA,NA,0.201621263,0.573077968,0.190408382,0,0,0,0.044444444,0,0.084453919,0,0,NA,0.091167165,0.170437047,11,0.051388703
AK: BS/AI Catcher Vessel Longline,Bering Sea/Aleutian Islands Catcher Vessel Longline,AK,longline,longline,2010,"Sablefish, Pacific cod, Pacific halibut",Y,Pacific halibut undefined,0,None,0,NA,276,NA,0,0,0,1,0,139,1,2812,2,NA,NA,NA,NA,0.037489813,NA,0,0,0,0.022222222,0,0.113971794,0,0.333333333,NA,0.050701716,0.106756602,9,0.035585534
